,COVARIANCE_TYPE_APPROXIMATED,COVARIANCE_TYPE_DIAGONAL_KNOWN,COVARIANCE_TYPE_KNOWN,COVARIANCE_TYPE_UNKNOWN,altitude,header.frame_id,header.stamp.nanosec,header.stamp.sec,latitude,longitude,position_covariance.0,position_covariance.1,position_covariance.2,position_covariance.3,position_covariance.4,position_covariance.5,position_covariance.6,position_covariance.7,position_covariance.8,position_covariance_type,status.SERVICE_COMPASS,status.SERVICE_GALILEO,status.SERVICE_GLONASS,status.SERVICE_GPS,status.STATUS_FIX,status.STATUS_GBAS_FIX,status.STATUS_NO_FIX,status.STATUS_SBAS_FIX,status.service,status.status,ros_type,timestamp,topic,bag_file_reference
0,1,2,3,0,437.257,gps,834632093,1720428304,50.9256790633333,13.331605485,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042830483513E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
1,1,2,3,0,437.299,gps,863356709,1720428305,50.9256785266667,13.3316107316667,0.000064,0,0,0,0.000064,0,0,0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042830586377E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
2,1,2,3,0,437.303,gps,834863094,1720428306,50.9256776666667,13.3316159783333,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042830683529E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
3,1,2,3,0,437.321,gps,836807900,1720428307,50.925676775,13.3316211383333,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042830783726E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
4,1,2,3,0,437.333,gps,832362650,1720428308,50.925675765,13.3316264283333,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042830883285E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
5,1,2,3,0,437.355,gps,837289853,1720428309,50.92567485,13.3316316916667,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042830983779E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
6,1,2,3,0,437.362,gps,836971395,1720428310,50.9256739133333,13.3316365866667,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831083746E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
7,1,2,3,0,437.352,gps,836739969,1720428311,50.9256734633333,13.3316414116667,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831183721E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
8,1,2,3,0,437.363,gps,834320393,1720428312,50.9256735483333,13.3316459383333,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831283478E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
9,1,2,3,0,437.362,gps,835042298,1720428313,50.925673805,13.331650205,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831383545E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
10,1,2,3,0,437.368,gps,831523185,1720428314,50.9256746516667,13.3316544666667,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831483194E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
11,1,2,3,0,437.393,gps,833952361,1720428315,50.9256763483333,13.3316582883333,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831583437E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
12,1,2,3,0,437.391,gps,832569884,1720428316,50.9256784666667,13.3316621466667,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831683308E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
13,1,2,3,0,437.405,gps,837177129,1720428317,50.9256809966667,13.3316647483333,0.000049,0,0,0,0.000049,0,0,0,0.003136,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831783766E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
14,1,2,3,0,437.416,gps,833586392,1720428318,50.9256835466667,13.3316665083333,0.000064,0,0,0,0.000064,0,0,0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831883405E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
15,1,2,3,0,437.437,gps,832891100,1720428319,50.92568565,13.3316684333333,0.000064,0,0,0,0.000064,0,0,0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042831983332E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
16,1,2,3,0,437.445,gps,832718700,1720428320,50.9256874766667,13.3316711516667,0.000064,0,0,0,0.000064,0,0,0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042832083315E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
17,1,2,3,0,437.459,gps,832951751,1720428321,50.9256888083333,13.3316731516667,0.000064,0,0,0,0.000064,0,0,0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042832183338E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
18,1,2,3,0,437.462,gps,833149597,1720428322,50.9256889283333,13.3316729016667,0.000064,0,0,0,0.000064,0,0,0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042832283359E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
19,1,2,3,0,437.465,gps,835074652,1720428323,50.9256888916667,13.3316729183333,0.000064,0,0,0,0.000064,0,0,0,0.004096,1,4,8,2,1,0,2,-1,1,1,2,2,1.72042832383557E+018,/emlid/fix,/project/HRI/data/Georg/markertests/converted_bag4
